ART_ID,CODE,CONTEXT,COUNTRY,CONDITION,ARTEFACT,SUB_CATEGORY,LONGITUDE,LATITUDE,RECOVERY_METHOD,CLASSIFICATION,BP_ASSOCIATION,TP_ASSOCIATION,ABS_DATE_METHOD,ABS_DATE_1,ABS_DATE_STD_1,ABS_DATE_ID_1,ABS_DATE_2,ABS_DATE_STD_2,ABS_DATE_ID_2,ABS_DATE_3,ABS_DATE_STD_3,ABS_DATE_ID_3,ABS_DATE_4,ABS_DATE_STD_4,ABS_DATE_ID_4,ABS_DATE_5,ABS_DATE_STD_5,ABS_DATE_ID_5,RELAT_DATE_METHOD,RELAT_DATE_CHRONO,RAW_MAT,DORS_BLADE_PROF,BLADE_DET,BLADE_CURV,DORSAL_PATTERN,BULB_MORPH,CONUS_FORM,BUTT_MORPH,BUTT_PREP_1,BUTT_PREP_2,CORE_MORPH,PLAT_REJUV,CORE_METHOD,CORE_DIRECTIONALITY,CORE_TABLET_REJUV,CORE_FLAKE_REJUV,CORE_FRONT_REJUV,CORE_DIST_REJUV,CORE_SIDE_REJUV,TANG_ORIENTATION,WEIGHT,LENGTH,WIDTH,ELONGATION,THICKNESS,PLAT_DEPTH,CORE_LENGTH,CORE_WIDTH,CORE_BREADTH,CORE_ELONGATION,TCSA,TCSP,BURINATION,REFERENCES
HACK_2638,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDOC,ID,DI,CON,BLF,NFO,BAB,PLA,NCU,,,,,,,,,,,3.94,49.29,9.63,5.118380062,5.67,2.68,,,,,,,,Richter (2002)
HACK_2641,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,CBOU,ID,DI,CONPE,BF,NFO,PUNB,PLA,NCU,,,,,,,,,,,2.96,45.52,11.62,3.917383821,4.31,1.08,,,,,,,,Richter (2002)
HACK_2649,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDNC,FE,DI,UNI,BF,NFO,SB,PLA,NCU,,,,,,,,,,,4.1,50.71,10.92,4.643772894,3.87,6.46,,,,,,,,Richter (2002)
HACK_2725,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,CBOFOC,ID,DI,SAP,BLF,NFO,LTB,PLA,CU,,,,,,,,,,,8.37,62.2,12.97,4.795682344,5.99,6.52,,,,,,,,Richter (2002)
HACK_2808,HACK,Häcklingen (FStNr. 19),Germany,Complete,Core,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,OP,SF,FURO,CUNI,Y,Y,N,N,N,,77.32,,,,,,40.36,25.37,19.87,1.590855341,,,,Richter (2002)
HACK_2811,HACK,Häcklingen (FStNr. 19),Germany,Complete,Core,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,OP,SS,FRO,CUNI,N,N,N,N,N,,31.06,,,,,,36.29,30.92,31.22,1.173673997,,,,Richter (2002)
HACK_2813,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,ID,ST,CON,BF,RCB,SB,PLA,NCU,,,,,,,,,,,8.17,62.27,14.69,4.238938053,8.55,6.31,,,,,,,,Richter (2002)
HACK_2814,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,TDOC,ID,DI,UNI,BF,NFO,SB,PLA,NCU,,,,,,,,,,,11.54,68.06,19.77,3.442589782,8.91,9.69,,,,,,,,Richter (2002)
HACK_2818,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,ID,ST,UNI,BF,RCB,PUNB,PLA,NCU,,,,,,,,,,,3.66,47.83,16.21,2.950647748,6.92,2.04,,,,,,,,Richter (2002)
HACK_2820,HACK,Häcklingen (FStNr. 19),Germany,Complete,Blade,,10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,THDNC,ID,ST,BI,BF,NFO,PUNB,PLA,NCU,,,,,,,,,,,4.96,59.97,16.37,3.663408674,5.91,2.59,,,,,,,,Richter (2002)
HACK_2908,HACK,Häcklingen (FStNr. 19),Germany,Complete,Backed Point,Backed Point (Unclassified),10.39,53.211,Excavation,Häcklingen,Y,Y,,,,,,,,,,,,,,,,,,,Flint,,,,,,,,,,,,,,,,,,,PROXIMAL,2.33,41.76,16.89,2.472468917,5.19,,,,,,43.83,26.8,N,Richter (2002)
